id,domain,issue_type,image_path,text_description,location_type,severity,urgency,language,pair_difficulty,confidence_label
00001,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_000.jpg,हमारे गाँव के नज़दीक एक गंभीर समस्या है जिसकी वजह Damaged school building है।,Rural,Low,Low,Hindi,both_clear,high
00002,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_001.jpg,"स्कूल के पीछे की स्थिति बहुत खराब है, यह damaged school building से जुड़ी समस्या है।",Urban,Low,Low,Hindi,both_clear,high
00003,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_002.jpg,We have noticed the school building near the colony gate has cracks and looks unsafe. No one has come to check yet. Children and elderly people use this path daily.,Semi-Urban,Medium,Medium,English,complementary,high
00004,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_003.jpg,"Hamare area mein damaged school building ki dikkat hai, gaon ke nazdeek.",Rural,High,High,Hinglish,both_clear,high
00005,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_004.jpg,"Yeh damaged school building wali problem panchayat office ke saamne kal raat se se hai, koi dekhne nahi aaya abhi tak.",Rural,Low,Low,Hinglish,clear_text_unclear_image,medium
00006,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_005.jpg,"Yeh damaged school building wali problem gaon ke nazdeek do hafte se se hai, koi dekhne nahi aaya abhi tak.",Rural,Medium,High,Hinglish,both_clear,high
00007,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_006.jpg,We have noticed the school wall is damaged and children are at risk. Please take action soon. Please fix it soon.,Rural,Low,Medium,English,both_clear,high
00008,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_007.jpg,Not sure who to contact but this needs attention.,Rural,Medium,Medium,English,vague_text_clear_image,medium
00009,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_008.jpg,"There is some problem here, please check when possible.",Semi-Urban,Medium,Medium,English,vague_text_clear_image,medium
00010,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_009.jpg,"Something is wrong in our area, someone should look into it.",Urban,High,High,English,vague_text_clear_image,medium
00011,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_010.jpg,There's part of the school building has collapsed beside the main road. This needs to be fixed urgently.,Semi-Urban,Medium,Medium,English,both_clear,high
00012,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_011.jpg,There's the school wall is damaged and children are at risk. Many families in the area are affected by this. We request the concerned department to inspect and resolve this at the earliest.,Rural,Medium,Low,English,both_clear,high
00014,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_013.jpg,"हमें पंचायत भवन के सामने damaged school building की दिक्कत हो रही है, कई दिनों से यह समस्या बनी हुई है।",Urban,Medium,Medium,Hindi,complementary,high
00015,Education,Damaged school building,data/raw/images/education/damaged_school_building/damaged_school_building_014.jpg,There is part of the school building has collapsed near the colony gate. It's affecting a lot of families nearby.,Urban,Medium,Medium,English,complementary,high
00016,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_000.jpg,There's children have to sit on the floor as furniture is broken. Please fix it soon. It's affecting a lot of families nearby.,Rural,Medium,High,English,complementary,high
00017,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_001.jpg,"Sir/Madam, bus stop ke paas broken classroom furniture ho raha h, jaldi solve kijiye plz.",Rural,Medium,Low,Hinglish,both_clear,high
00018,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_002.jpg,Just reporting that there is the classroom chairs are broken since since last night. Nobody from the authorities has visited yet.,Urban,Low,Medium,English,both_clear,high
00019,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_003.jpg,"Kindly note that there is children have to sit on the floor as furniture is broken. This is causing a lot of trouble to residents, especially elderly people and children. We have complained before but no action has been taken.",Urban,Low,Low,English,clear_text_unclear_image,medium
00020,Education,Broken classroom furniture,data/raw/images/education/broken_classroom_furniture/broken_classroom_furniture_004.jpg,Kindly note that there is most of the desks and benches in the classroom are broken.,Rural,High,High,English,both_clear,high
